date,avg_stay_monthly,hotel_occ,spend_per_capita,tourism_receipts,avg_stay_annual,visitor_arrivals,visitor_arrivals_china,year,month,quarter,period,china_share,china_share_pct,avg_stay_monthly_capped,visitor_arrivals_millions,visitor_arrivals_china_thousands,cluster_z_visitor_arrivals,cluster_z_china_share,cluster_z_hotel_occ,cluster_z_avg_stay_monthly_capped,hotel_occ_level_tertile,hotel_occ_level_business,dataset_split
2017-10-01,3.24726355,83.12943322,NA,NA,NA,1402299,245755,2017,10,4,pre_covid,0.1752514977191027,17.52514977191027,3.24726355,1.402299,245.755,0.5927637301166964,0.006677175997874073,0.4932110748447768,-0.5412855361299811,medium,medium,train
2017-11-01,3.09550355,85.17217876,NA,NA,NA,1397330,251096,2017,11,4,pre_covid,0.17969699355198843,17.96969935519884,3.09550355,1.39733,251.096,0.5846184143152902,0.04368883747741593,0.6548109865645889,-0.5567549489797053,high,high,train
2017-12-01,3.2243555,79.64258954,1538.62844341,26807.30642286,3.37586597,1569616,244241,2017,12,4,pre_covid,0.155605574866719,15.5605574866719,3.2243555,1.569616,244.241,0.8670341676179801,-0.15688798599972847,0.21736975254832272,-0.5436206315637722,medium,medium,train
2018-01-01,3.3733835,83.4206083,NA,NA,NA,1563359,291208,2018,1,1,pre_covid,0.1862707158112756,18.62707158112756,3.3733835,1.563359,291.208,0.8567775282600815,0.0984193764470878,0.5162456948214821,-0.5284297007640311,medium,medium,train
2018-02-01,3.34971865,87.99437558,NA,NA,NA,1491970,366616,2018,2,1,pre_covid,0.24572612049840145,24.572612049840146,3.34971865,1.49197,366.616,0.7397547973793034,0.5934245219092574,0.878072644973563,-0.5308419393952698,high,high,train
2018-03-01,3.20436545,87.20196257,NA,6867.78782354,NA,1584406,274879,2018,3,1,pre_covid,0.17349025439186674,17.349025439186676,3.20436545,1.584406,274.879,0.8912783255376415,-0.007986327076077594,0.8153855065345633,-0.5456582853350994,high,high,train
2018-04-01,3.20647151,85.23803395,NA,NA,NA,1544248,291119,2018,4,2,pre_covid,0.1885182949888878,18.85182949888878,3.20647151,1.544248,291.119,0.8254502732227151,0.11713194368309184,0.6600207362284128,-0.5454436074777833,high,high,train
2018-05-01,3.4831848500000002,82.56325906,NA,NA,NA,1470891,264802,2018,5,2,pre_covid,0.18002829577446594,18.002829577446594,3.4831848500000002,1.470891,264.802,0.7052015448581037,0.0464471452493069,0.44842150488490834,-0.5172372757863882,medium,medium,train
2018-06-01,3.55849021,85.46062713,NA,13461.72489445,NA,1544679,242118,2018,6,2,pre_covid,0.15674324568405473,15.674324568405474,3.55849021,1.544679,242.118,0.8261567797854855,-0.147416132071783,0.6776298987663141,-0.509561144370751,high,high,train
2018-07-01,3.40593015,92.38596414,NA,NA,NA,1732896,361019,2018,7,3,pre_covid,0.20833275626465755,20.833275626465756,3.40593015,1.732896,361.019,1.1346870482888602,0.28210029832942324,1.2254875871233022,-0.5251121100568258,high,high,train
2018-08-01,3.48967601,91.52662436,NA,NA,NA,1683122,380108,2018,8,3,pre_covid,0.2258350850383989,22.583508503839887,3.48967601,1.683122,380.108,1.0530961952602444,0.4278186370769946,1.1575059272121402,-0.5165756097748331,high,high,train
2018-09-01,3.26595709,85.33643061,NA,20610.56743432,NA,1415149,239824,2018,9,3,pre_covid,0.16946908064097843,16.946908064097844,3.26595709,1.415149,239.824,0.6138277888907091,-0.0414652295906902,0.6678048146944576,-0.5393800400316492,high,high,train
